scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S6_n9,10.0,0.0,1.0,1.5,60.0,90,1.555,100.0,0.0,57.3,100.0,0.0,60.5
S6_n9,10.0,0.0,1.0,1.5,100.0,90,1.555,100.0,0.0,90.2,100.0,0.0,93.4
S6_n9,10.0,0.0,0.5,0.0,30.0,210,0.284,0.0,100.0,26.6,100.0,0.0,29.8
S6_n9,10.0,0.0,0.5,0.0,60.0,210,0.284,0.0,100.0,45.9,100.0,0.0,49.1
S6_n9,10.0,0.0,0.5,0.0,100.0,210,0.284,57.1,42.9,71.7,100.0,0.0,74.8
S6_n9,10.0,0.0,0.5,0.5,30.0,210,0.02,0.0,100.0,26.1,100.0,0.0,29.3
S6_n9,10.0,0.0,0.5,0.5,60.0,210,0.02,0.0,100.0,45.0,100.0,0.0,48.2
S6_n9,10.0,0.0,0.5,0.5,100.0,210,0.02,0.0,100.0,70.2,100.0,0.0,73.4
S6_n9,10.0,0.0,0.5,0.8,30.0,210,0.845,100.0,0.0,28.0,100.0,0.0,31.2
S6_n9,10.0,0.0,0.5,0.8,60.0,210,0.845,100.0,0.0,48.4,100.0,0.0,51.6
S6_n9,10.0,0.0,0.5,0.8,100.0,210,0.845,100.0,0.0,75.7,100.0,0.0,78.9
S6_n9,10.0,0.0,0.5,1.0,30.0,210,1.41,100.0,0.0,29.1,100.0,0.0,32.3
S6_n9,10.0,0.0,0.5,1.0,60.0,210,1.41,100.0,0.0,50.5,100.0,0.0,53.7
S6_n9,10.0,0.0,0.5,1.0,100.0,210,1.41,100.0,0.0,79.0,100.0,0.0,82.2
S6_n9,10.0,0.0,0.5,1.5,30.0,210,2.27,100.0,0.0,28.7,100.0,0.0,31.9
S6_n9,10.0,0.0,0.5,1.5,60.0,210,2.27,100.0,0.0,49.8,100.0,0.0,53.0
S6_n9,10.0,0.0,0.5,1.5,100.0,210,2.27,100.0,0.0,77.9,100.0,0.0,81.1
S6_n9,10.0,0.3,0.5,0.0,30.0,195,1.2,26.7,73.3,27.8,87.2,12.8,31.0
S6_n9,10.0,0.3,0.5,0.0,60.0,195,1.2,61.5,38.5,48.2,89.7,10.3,51.4
S6_n9,10.0,0.3,0.5,0.0,100.0,195,1.2,74.4,25.6,75.3,89.7,10.3,78.5
S6_n9,10.0,0.3,0.5,0.5,30.0,195,0.949,64.1,35.9,27.4,100.0,0.0,30.6
S6_n9,10.0,0.3,0.5,0.5,60.0,195,0.949,73.8,26.2,47.4,99.5,0.5,50.6
