model,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err_nominal,dir_err_local,speed_est,speed_err_nominal_pct,speed_err_local_pct,speed_true_local,estimable,n_nonsink,n_died,t_max
ellipse,head,10.0,60.0,11.0,21,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,22,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,23,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,24,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,25,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,26,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,27,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,28,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,29,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,30,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,1,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,2,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,3,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,4,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,5,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,6,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,7,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,8,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,9,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,10,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,11,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,12,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,13,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,14,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,15,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,16,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,17,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,18,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,19,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,20,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,21,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,22,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,23,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,78.5,24,6.917911469139403,0.5676269144513162,1.4517167628488479,-3.218882476743475,-0.720191736605982,1.4622477503153257,1,15,15,98.37018051561017
